,business_id,price_range
21461,SWSZdo4sBhrcQSmN5e1myg,2.0
21463,-RnHetpjoz1mKVNMHfh1qQ,3.0
21469,DvFOetqoZonh-7G6spAugw,2.0
21688,VUk5T-D5EYoX4faKHrEo1w,2.0
21699,O9ro4MvZ7LDQC76zLEg7AQ,2.0
22026,tkHy13-6Iuc46OgBbmAaTw,2.0
22220,vrf1r48AlfLdgm-x7C1aMw,1.0
22228,6UqTTEns7f6BU0Q1qlGFOA,2.0
22255,45wKKB8lD5c-wJtTyd7C8w,1.0
22359,HZjLErXWi1vZWMgsAjBEeQ,2.0
23270,5W48_DnrXVD7EbtmE4pxOQ,1.0
23349,NhpdNYXoRofaa649drCz3g,2.0
23551,8SkoyQ3iHXECEit2BDwBrw,1.0
23721,Xo9a2Vm83Fao6MpprxWcKw,1.0
23862,5YgXxBUzhf3qh8F8wYSqsA,2.0
23985,KrpzkbFvCTcM7fPVZN7h1w,2.0
23999,uTd7ksJAy7Zta9r0UXQIuA,3.0
24216,js12Ev8XKlh36gZeGHzQnA,2.0
27232,C0r1yj7CBKMXc4Up_5Nmhg,1.0
29309,3cSnc2Ts0GckC9QRvlQbKA,2.0
29373,6AmBMN_8KBxjFii4inppJw,1.0
29375,kALWQ76kSTrt_WhdjLAs3g,2.0
29483,bCRrLdBLel3y73tA8w6C3Q,2.0
29691,iixLYn4-HwBUvgS4wQmQKQ,1.0
29830,oWiicnW4twnBLFT3sAVpGA,1.0
29925,GmAGA39Wjv3MLT2ju5ALQQ,2.0
30010,40axkHtNTmROdIMQJ_gOsw,1.0
30740,Ieuv-XET6SR_qIscZzgD-A,4.0
30760,n2vuEfMHtM1ZE2LR9ppLXg,1.0
30960,NdQMBelvH0TTe1pIrnFYmA,2.0
30986,MgMh64Y-gfu7pnak0oqF7g,1.0
31396,htIMKHDjCIHJALQOdY1keA,1.0
31768,mzQp4bnowm0ELC7aJOqpLQ,2.0
31860,aOxyvODx3QeaE-jpw92hzw,1.0
32159,yk9R3XBW6-zqrS3VIhkLFQ,1.0
32230,2sn5BECdlYxqQlw1VODDoA,1.0
33219,VnTREYYq-cquQ3f2re8iBg,3.0
33504,uFi6gZIorIy9WGkCxnGrdQ,2.0
34024,PGkKmZIK_tCMbLPy1BRwMg,1.0
34097,fJX4coaMuEwipbQlkhskWQ,1.0
36004,3trWuWYn8gv3bieAXrBToQ,1.0
36017,5n4rqpX_xQHlcRMsbLdOrw,1.0
36160,s-OomSmBbKJnAkPvCuXFgA,1.0
36542,Ny2xALovpv-ZbTvwSSB86A,1.0
36873,u0Z0OwRYbwknE5Pr_CJhnw,1.0
36899,3RKhnCtiN6jfaSbJU-9kmA,1.0
37018,TW44bipmQ5fCYbA2D2sajw,1.0
37150,JShpcX_oSkA0aXINpsPGQQ,1.0
37815,aVuW7wvQs0QVUAbUN4LZog,1.0
38982,3bwxfBvKABepxYWGz3pHXA,1.0
39325,F83X7F2FnEGyXJHc1rZxVQ,2.0
40144,nIbXwOgthwCM2dhug5viCA,1.0
40520,qCOCPoxRo9_lLixup-TPTg,1.0
40676,P8DQlNd4ZVCtxFsH_QARFQ,1.0
40712,9avj6sGmkoI3BPhdjNrT2g,1.0
41332,cC08otMSMx_S4eUbmElKew,2.0
41745,onItgedmKDLbI3JHOE5XTA,1.0
42284,ZHioxVVxhxhZvtqB0Ny86A,1.0
42658,WhcWAaAw5x1sLh4PFQTlbw,1.0
43188,8HCC8NuJmdHnEg2XC00NPg,2.0
43247,76jf1_2bJCpnF33ZrAgGgA,2.0
43412,MhMFi7hae_KsaK8lHcg0iQ,1.0
43517,1PQNIw4DgWTy_18cH5hVCA,1.0
43519,kEJwpuFpvNbuT1uMCpPxsQ,1.0
43568,lSttZdhVDsfPIXvjgq12ig,2.0
44001,AxScnvjfLqpPmTLXGjNhcA,1.0
44007,kwD6P2-EV87u6aVOcnAcpQ,1.0
44415,jlFhZFGzROkhhSIfXM1oJQ,1.0
44575,RQ_QaWi1Cc4X6odfGuUGcA,2.0
44649,O2ZJBS7uqGA0kGDr3-VgGA,1.0
44741,fAJYeE4Q6vwVPGkk1MWCoQ,1.0
44895,7OmQ1cWleFTKqXfGJYyTrQ,1.0
45210,u5ea3QjzrkoIw_LoDefQqw,1.0
45665,k2k0TuuoFS6YmSddFz2Caw,2.0
45949,07kcENxFQxwVWYiZ5fqlOg,2.0
46433,VK7XhT6wv-mWV6N1IU4xXA,2.0
46590,ZKu3ynyht-BYVs3wS8D9_w,2.0
46722,79X0Nxbb0kTLtOtp_z_wcA,2.0
46726,JGEJCYz7gbnOtxbgXB-zSg,2.0
47672,2sWval6Zz4qugjLUQc5I5Q,1.0
47727,2XmS09dl3GT_WknqS9hTVA,2.0
47835,6jxyLIvnQ0yo8RV1VEjfvQ,1.0
48224,cKL_n9FpPaYHNDb_JLCLGw,1.0
48358,2-XO3LwWdpm-_xOUHSAqGQ,1.0
48545,EfbKXRj9PA1FCfU575bFnQ,1.0
48618,QY8CBhPwv6dE4onjhj6MDg,2.0
48930,mThyP-DoLN3Y4UK7YM9uFg,1.0
50093,O-FIwYMrM2U1ePPh0NmEBw,1.0
51671,xzEhmFvpuS_MlmMNTh2egg,2.0
51915,UZS8qFGAZGGHTqYLApgANw,1.0
51935,iEE1GLipVAGN9wHNT-TLlw,2.0
52128,Kxp8cIMt3-vxwtCSsL9QKQ,2.0
52426,agAVp73coNTY6c7cTiRVsA,2.0
53627,74UJ8vSdS2RWQA_5jDqU2g,2.0
53963,3_H-sx_fq0hJJ8S2W02frA,1.0
54389,P3TFaom0CAdyAh9l8LwhtQ,1.0
54460,3zhQAE8jB3PAgDoL1FjNfw,2.0
54811,kBsvcoIvoK_M2BIs89xKZg,1.0
54814,eLwTnV0_d8A15wlbrG7pQw,1.0
55370,jltLP6_SrYYkynpSuxVlwg,2.0
55441,s4Ki8L-zutVJexVSnFlP-Q,2.0
55605,oq7mXtz0Klb_QlqBjmcdaw,2.0
56062,VnR-KYOHlQX-aFMkaY686Q,2.0
56296,wzK3QuhmrRrx6D0fRGjRZw,1.0
56312,1LVq-vrSkNSD0EIIBLnlSw,1.0
57113,WrTs9iNJaxWzyi2F5huSkQ,1.0
57184,oJ__9ZEkk_kZMhbQn-DZzw,2.0
57469,rj6F_QzE3rh81lC16-EE5g,1.0
57666,4Z29_LE_UMOZVIArjlTrBg,2.0
57855,1MRWXUsIvKNwt5SdLxqhZA,1.0
58211,UQouZ1z2P3lvG9IZMxubpA,2.0
58278,s9xhX1EOFFuXhdxX8g-24A,1.0
58489,sv1B-Y8EoUn5B4JHDZHwNQ,1.0
58519,H-n_ldCI3Q16rLVJsAxRMg,1.0
58525,0iZBk8n6Do6-488w9qCnYg,1.0
58638,crt6xd0yvBzk4ayuYta8eA,2.0
59129,GNKYSfEwRL7enQYBKeA76Q,1.0
59339,MJLe4pP-0ZOFHuFt0CIoRw,2.0
59387,8T4aPvtpugzUxJc-DVrLHg,2.0
59484,kiA-L7r9uHh2bqUPxuCzNQ,2.0
59506,O5BaxsfXVo7kwX1YnjyvzA,2.0
59559,kZJqGhDbar8iNZxIiYM6JQ,1.0
60050,J6rIkpGl2ZipFDd5zk4Nzw,1.0
60353,Lo99HExahVguUC512OvMwg,1.0
60411,-HYqXOC9BYXHrFW5PPefJQ,2.0
60424,5OE8-LC2N0QhD_KqurPfzw,1.0
60433,gPW4_y2jomYXZ-38SXRO9w,2.0
60502,XTxxHyPXDemprLQmuWDBdg,1.0
60517,0lWQSXID3T7K3DbjX7CpqQ,2.0
60615,FudNA-KYx-QKaeyghJoPAg,2.0
60677,4g5A0GMespDYqjXhJU7R2w,1.0
60721,oRcY5iM5ePnsynLXCgnXOQ,2.0
60756,8Q1enKhBdsWt8PS1XW2lew,2.0
60812,3pJeHzOtpo2iiM-z94SWCA,1.0
60973,_Ec1KaH6DpX-1NNE8fA55Q,1.0
61070,y_75-ugIKXcO30npmDD_Rw,2.0
61077,lMXAodHdwDSZpXScds0Qag,2.0
61114,qlbwd2A2E6PMpL2sK2TxAA,1.0
61166,BvbFnrg21OU2dULq3OlqcQ,2.0
